ID	premise1	premise2	premise3	premise4	hypothesis	entailment_judgments	neutral_judgments	contradiction_judgments	gold_label
2267	94183012.jpg#0/A machine lifting dirt in front of an apartment building.	94183012.jpg#1/A bulldozer is scooping up soil in a building foundation.	94183012.jpg#3/A yellow construction machine is digging.	94183012.jpg#4/A backhoe digs out dirt at dusk.	A man uses vehicles.	4	1	0	entailment
2268	2088532947.jpg#0/The girl in the white shirt has a bracelet on and has her arm around the girl in the peach shirt.	2088532947.jpg#1/Two young girls holding each other on the grassy ground	2088532947.jpg#2/Two little girls are laying on the grass smiling.	2088532947.jpg#4/The two girls laid on the grass together.	Children hug each other.	4	0	1	entailment
2269	4045411879.jpg#0/A man wearing a yellow safety vest watches other workers on machinery.	4045411879.jpg#1/Construction workers are working on a project at night.	4045411879.jpg#3/A construction worker is resting for a bit.	4045411879.jpg#4/A work man in a yellow shirt working.	Worker building something.	5	0	0	entailment
2270	2255332561.jpg#0/A man is on the side of a mountain and hiking around huge rocks.	2255332561.jpg#2/A man stands on the rocky ledge of a large cliff.	2255332561.jpg#3/A person stands atop a rock face.	2255332561.jpg#4/The man is on the mountainside.	A man climbing the side of a wall.	1	0	4	contradiction
2271	4700236014.jpg#1/An elderly female is eating something tasty.	4700236014.jpg#2/A woman nibbles at a food item in her hands.	4700236014.jpg#3/An ugly woman is trying to eat something.	4700236014.jpg#4/Fat woman is eating food.	A woman makes a funny face.	3	0	2	neutral
2272	3560504626.jpg#1/A group of men standing in an sporting goods store.	3560504626.jpg#2/Four guys inside of a bicycle shop.	3560504626.jpg#3/Some people are in a bicycle shop.	3560504626.jpg#4/A few people stand in a bike shop.	Men reading something.	1	2	2	neutral
2273	267041173.jpg#0/A group of men stand around a table looking at different kinds of CDs.	267041173.jpg#1/Several young men in t-shirts sort through CD's on a table.	267041173.jpg#2/People are checking out CDs on an counter.	267041173.jpg#3/Young men search through compact discs.	Men browsing.	5	0	0	entailment
2274	3067971348.jpg#1/A cyclist is riding along a white line in a busy city center.	3067971348.jpg#2/Pedestrians and bikers crossing a busy street	3067971348.jpg#3/A stop action picture of a woman on a bicycle	3067971348.jpg#4/The city at night.	A girl riding a bike.	2	2	1	contradiction
2275	4833952388.jpg#0/A blond girl with a leather jacket on smiles at her friend while they stand in the rain at a concert.	4833952388.jpg#1/A blond girl having a conversation with her brunette friend at an outdoor concert venue in the rain.	4833952388.jpg#2/At an outdoor concert, blond and a brunette are caught in the rain.	4833952388.jpg#3/A blond woman speaking to a brunette woman with her arms crossed.	Girls laughing.	2	2	1	neutral
2276	7965514148.jpg#0/A brown-haired woman in a blue shirt, wearing a bib number from a marathon, holds a gold trophy and poses with a blond woman in a black dress.	7965514148.jpg#2/Mother and daughter posing for a photo after winning an award	7965514148.jpg#3/A blond woman and a brunette woman pose with a trophy.	7965514148.jpg#4/Two girls pose with trophy at crowded event.	Mom stands.	3	2	0	neutral
2277	4963075437.jpg#0/A woman takes her ticket at the deli, while a man in the background makes his order.	4963075437.jpg#1/A woman in a white tank top and sunglasses on her head is touching something.	4963075437.jpg#2/A woman in a white sleeveless t-shirt is ordering food at a bakery.	4963075437.jpg#4/Woman opening her purse in a Canadian bakery.	Woman standing.	3	2	0	neutral
2278	1925434818.jpg#0/Two children fall headfirst into a colorful ball pit while a third child watches.	1925434818.jpg#2/Some children playing in a pit full of colorful balls	1925434818.jpg#3/Several children playing in a ball pit.	1925434818.jpg#4/Three children in a ball pit.	Children slide while another child looks on.	1	3	1	neutral
2279	4814817945.jpg#0/A musician playing an accordion in front of a green doorway while sitting on a milk crate.	4814817945.jpg#1/A man with glasses sits on a milk crate in front of a green door playing the accordion.	4814817945.jpg#2/A man sitting on a crate playing the accordion in front of an old building.	4814817945.jpg#4/A man on a milk crate plays the accordion.	A bald man with a beard plays an instrument.	3	2	0	neutral
2280	3713922357.jpg#0/A dirt biker in red speeds on clay road while being videotaped by a man in black.	3713922357.jpg#1/An off road biker is photographed as he performs another stunt in the dirt.	3713922357.jpg#3/A man wearing a red uniform rides his bicycle up a rocky hill	3713922357.jpg#4/The guy in red on a dirt bike is getting photographed.	Someone takes a picture.	4	0	1	entailment
2281	2925162156.jpg#0/Two athletes, one female and one male are running down a rain drenched street.	2925162156.jpg#1/A man and a woman are competing in a road rice.	2925162156.jpg#3/Athletes are running in an event.	2925162156.jpg#4/Two people run in a race.	Runners running.	5	0	0	entailment
2282	7236308294.jpg#1/A man and a woman are competing in a race.	7236308294.jpg#2/Two friends run in a competitive race.	7236308294.jpg#3/A man and woman are running in a race.	7236308294.jpg#4/A guy and a girl running.	Individuals running.	5	0	0	entailment
2283	4567352607.jpg#0/Lots of shoppers in the rain, holding umbrellas, to the left of the picture is a market stall.	4567352607.jpg#1/A crowd of people holding umbrellas go about their every-day business.	4567352607.jpg#3/Passersby holding umbrellas shop for vegetables at a street market.	4567352607.jpg#4/A throng of people fill the street market.	A bunch of person walking.	5	0	0	entailment
2284	402668805.jpg#1/They are having a karate class, a karate is part of self-defense	402668805.jpg#2/A young boy at karate class kicks his leg high into the air.	402668805.jpg#3/A young buy kicking in his karate gi next to another child.	402668805.jpg#4/A boy in karate class kicks in unison with his classmates.	Kids practicing martial arts.	5	0	0	entailment
2285	2863848437.jpg#0/A kid blocks a goal during a soccer game as other kids stand in the background.	2863848437.jpg#2/The blond boy is stretching in front of the soccer goal.	2863848437.jpg#3/A young boy dives for a ball near a soccer goal.	2863848437.jpg#4/A boy plays goalie at a soccer game.	A player dives.	4	1	0	entailment
2286	4465902203.jpg#0/A lady in a black dress, black boots and black jacket walks in front of blurred people.	4465902203.jpg#2/A beautiful woman in a black dress is walking on the street.	4465902203.jpg#3/A woman in a black dress is walking in the street.	4465902203.jpg#4/A brunette wearing a little black dress walking.	A woman glancing.	2	3	0	neutral
2287	3439560988.jpg#0/A black dog running through a grassy field	3439560988.jpg#2/A dog running fast with ears flying.	3439560988.jpg#3/A black dog runs through a field.	3439560988.jpg#4/Black dog running in swampy grass	A dog running towards the camera.	1	2	2	neutral
2288	4818265780.jpg#0/Woman sells dates and nuts to patron in blue and white striped shirt.	4818265780.jpg#2/A man buys fruits from an older woman at a market.	4818265780.jpg#3/A man is buying his vegetables in the market.	4818265780.jpg#4/Several people are at a produce stand.	A man standing at a counter.	2	1	2	entailment
2289	4613883258.jpg#1/A group of children being entertained by a group of entertainers while at a youth camp.	4613883258.jpg#2/A class of students are seating on the lawn listening to music.	4613883258.jpg#3/A drummer gives a performance to a group of children.	4613883258.jpg#4/A man in a bandanna is facing girls in blue shirts.	A group sitting.	5	0	0	entailment
2290	2306186887.jpg#1/Two brown dogs are playing on the grass, and one of them is carrying a red ball.	2306186887.jpg#2/The two dogs, one holding a ball in its mouth, run through the grass.	2306186887.jpg#3/The little brown dogs with floppy ears are playing with a red ball.	2306186887.jpg#4/The dogs run and play with a red ball.	Another dog bounds towards the camera.	2	2	1	neutral
2291	3503414651.jpg#1/A male bicyclist trying to get something from his backpack on a busy street.	3503414651.jpg#2/A biker, with a blue helmet, reaches for his bag.	3503414651.jpg#3/A man checks his gear while out on a bicycle ride.	3503414651.jpg#4/A man in a blue and black helmet on a bicycle.	A man sits on a bike.	5	0	0	entailment
2292	3294830188.jpg#1/A seagull flies under another with food while three others follow.	3294830188.jpg#2/A flock of birds fly away with food in their beaks.	3294830188.jpg#3/Seagulls fighting over a scrap of bread.	3294830188.jpg#4/Several birds flying in front of trees.	Animals chasing another animal.	3	0	2	entailment
2293	6073565104.jpg#0/A shirtless man is rock climbing at a very steep angle.	6073565104.jpg#1/A rock climber scaling a mountain on a very steep edge.	6073565104.jpg#3/A shirtless man is climbing a mountain.	6073565104.jpg#4/A shirtless man is climbing a rock.	A climber hangs from a rock face.	5	0	0	entailment
2294	2367726871.jpg#0/A man in a white shirt, black cap and black shorts is playing tennis.	2367726871.jpg#2/A man wearing a cap and white shirt playing tennis.	2367726871.jpg#3/A Tennis player in a black hat hitting the ball.	2367726871.jpg#4/A man hitting a tennis ball.	A man swinging a racket.	5	0	0	entailment
2295	7348146586.jpg#0/Jockeys in brightly colored outfits are racing on their horses in the green grass.	7348146586.jpg#1/A horse race with numerous people on the horses in a grassy scene.	7348146586.jpg#2/A group of jockeys are riding racehorses on a grass track.	7348146586.jpg#4/Horses and jockeys running in a turf race.	Riders racing animals.	5	0	0	entailment
2296	82675922.jpg#0/A group of people is gathered around a table of food with their arms around each other.	82675922.jpg#1/A group of people are sitting on a sofa hugging each other.	82675922.jpg#2/A group of people are sitting in a room.	82675922.jpg#3/People sitting on a brown leather couch.	Couples sitting.	3	0	2	neutral
2297	3342487512.jpg#1/A snowboarder is performing a jump whilst riding on a pink snowboard.	3342487512.jpg#2/A person wearing protective gear on a snowboard in the air above snow.	3342487512.jpg#3/A snowboarder is attempting a jump on a crafted ski run.	3342487512.jpg#4/A snowboarder doing a jump on a K2 snowboard.	A snowboarder does a trick.	4	0	1	entailment
2298	1358477469.jpg#0/A man wearing glasses and a black shirt is seen behind a series of gray mesh-like panels.	1358477469.jpg#2/A man with glasses being photographed behind a cage.	1358477469.jpg#3/A man wearing glasses looks through a wire gate.	1358477469.jpg#4/A man behind either a fence or cage.	A man stands with arms folded.	0	5	0	neutral
2299	4075175810.jpg#0/People are watching from the sidelines of an inner city foot race.	4075175810.jpg#1/A group of people running a marathon while spectators watch.	4075175810.jpg#3/A group of people are running through a city.	4075175810.jpg#4/Runners jogging along in the city.	Onlookers watch.	4	0	1	entailment
2300	19810652.jpg#0/A bunch of people and a handicapped man are on a street sidewalk that has a bus and red car in the background.	19810652.jpg#1/People on a street corner looking up at an unknown object next to a man in a wheelchair.	19810652.jpg#3/A man and woman look upward on a city block.	19810652.jpg#4/A city street busy with people and cars.	A group stands.	3	1	1	entailment
2301	3394750987.jpg#0/A young boy does skateboarding tricks down metal stairs.	3394750987.jpg#1/A man is skateboarding down a railing on some stairs.	3394750987.jpg#2/A boy skateboards down the metal handrail at night.	3394750987.jpg#3/A boy on a skateboard grinding down a handrail.	A skateboarder slides.	5	0	0	entailment
2302	3732914946.jpg#1/A woman is eating at a table as people walk by.	3732914946.jpg#2/A young woman eating salad bent over a table.	3732914946.jpg#3/A woman in a black shirt eating a salad.	3732914946.jpg#4/Woman is preparing a dish to eat.	A woman leans on a fence.	0	0	5	contradiction
2303	6303184938.jpg#0/A man in a blue shirt with glasses and a shaved down head is looking at a microscope in a laboratory.	6303184938.jpg#1/A man wearing laboratory gloves is looking through a microscope that is sitting on a metal counter.	6303184938.jpg#3/A man in a blue shirt is in a lab looking into a microscope.	6303184938.jpg#4/A man looks into a microscope in an office.	A lab worker examining something.	4	0	1	entailment
2304	3263182360.jpg#1/A woman in a tan suit and red shirt speaks into microphones at a podium.	3263182360.jpg#2/A woman with long curly hair is standing at a podium and speaking.	3263182360.jpg#3/The woman in the tan suit is speaking at the pedestal.	3263182360.jpg#4/A lovely woman makes a point at a business meeting.	A professionally dressed woman standing.	5	0	0	entailment
2305	7013217.jpg#0/Two guys seem to be discussing something in front of a building that looks to have a rather eastern facade.	7013217.jpg#2/Man in spotted shirts chats with another man outside at night.	7013217.jpg#3/Two men abroad enjoy talking about their differences.	7013217.jpg#4/Two men chatting in the evening.	Men conversing with each other.	5	0	0	entailment
2306	3038760935.jpg#0/Two small white and brown dogs bound in unison.	3038760935.jpg#1/Two brown and white dogs racing across a lawn.	3038760935.jpg#2/Two brown and white dogs running across grass.	3038760935.jpg#3/Two dogs run together across a grassy lawn.	Dogs jumping.	2	1	2	contradiction
2307	4724702832.jpg#0/A young male wearing a white shirt with a character outlined very darkly.	4724702832.jpg#1/A man in jeans and a white shirt is walking down the street	4724702832.jpg#3/Man shirt and jeans walking in a park.	4724702832.jpg#4/A young guy walking down the walkway.	A black man walks down a sidewalk.	1	2	2	neutral
2308	637245791.jpg#1/A young Asian boy, wearing pajamas, is seated on the floor by the bed watching an insect made of Legos.	637245791.jpg#2/A young child is watching a toy construction brick construct.	637245791.jpg#3/The little boy is playing with a toy.	637245791.jpg#4/A child is playing with a Lego toy.	A boy sitting.	3	1	1	entailment
2309	2938316391.jpg#0/A woman with a hooded sweatshirt and bikini bottoms holding a camera at beach side.	2938316391.jpg#1/A girl in a hoodie and bikini bottom is standing on the beach with a camera.	2938316391.jpg#2/A woman in a striped hoodie holds a camera on a beach	2938316391.jpg#3/A woman stands on a beach with a camera	A woman takes pictures.	1	4	0	neutral
2310	137306998.jpg#1/A Japanese girl sitting on a rock surrounded by a field.	137306998.jpg#2/A young girl sits on a rock overlooking a large field.	137306998.jpg#3/A young girl in front of a field of green.	137306998.jpg#4/A young girl sits on a rock.	A little child sitting.	3	1	1	entailment
2311	6626089819.jpg#0/A man is cutting shaving another man's hair in an area with a dirt floor.	6626089819.jpg#1/One man is shaving another man's head in a room with a dirt floor.	6626089819.jpg#2/One man shaves another man's head with an electric razor.	6626089819.jpg#3/A guy getting his head shaved by another guy.	A man giving a man a haircut.	4	0	1	entailment
2312	4781665633.jpg#1/Two men covered in red paint or blood on a busy sidewalk.	4781665633.jpg#2/Men in zombie makeup standing on a busy street.	4781665633.jpg#3/A group of people dressed up for Halloween.	4781665633.jpg#4/Two young men coming from a concert.	Kids walking down a street.	0	1	4	contradiction
2313	4161413089.jpg#0/A man holding a yellow balloon sitting on a bench next to a woman with a little girl in front of her and a little boy in green rain boots walking in front of them.	4161413089.jpg#2/A man and woman watching two kids while the man holds a balloon.	4161413089.jpg#3/A man with a yellow balloon with his family.	4161413089.jpg#4/A couple is sitting on a bench.	Two kids play on a street.	2	0	3	neutral
2314	241979236.jpg#0/Two young women and a young man are crossing a street in the middle of the rain	241979236.jpg#2/A few people and cars out on their daily commute on a rainy day.	241979236.jpg#3/People crossing a busy street on a rainy afternoon.	241979236.jpg#4/People crossing a busy street.	Pedestrians walking.	5	0	0	entailment
2315	4536986469.jpg#1/A man wearing a brown colored jacket is talking to a woman wearing a black skirt.	4536986469.jpg#2/A man in a tan blazer, talks to a woman in a bright pink shirt and black skirt.	4536986469.jpg#3/A man in a yellow jackets talks to a girl in a pink blouse and dark skirt.	4536986469.jpg#4/Asian man and two women in a hallway.	A man waiting at a counter.	0	4	1	neutral
2316	396698013.jpg#0/Two old men are on a balcony and one is looking at a small square of paper, and the other is holding a few sheets of paper.	396698013.jpg#2/Men dressed in colonial clothing and announcing something important.	396698013.jpg#3/Two men are making an announcement on a balcony.	396698013.jpg#4/Two men in hats holding paper on a balcony	Men reading.	2	3	0	neutral
2317	3112573472.jpg#0/A man in red with a beer is talking to a woman with a gray sweatshirt and cornrows in her hair.	3112573472.jpg#2/A man with a beer puts his arm behind a smiling woman.	3112573472.jpg#3/Man in red polo with his arm around a girl in gray.	3112573472.jpg#4/A man and woman mingle and talk to one another.	A woman laughing.	2	2	1	neutral
2318	3273969811.jpg#0/A large white crane flying through the air over the water.	3273969811.jpg#1/A large white bird takes flight out of the water.	3273969811.jpg#3/A white crane is flying above some water.	3273969811.jpg#4/White dove glides above water.	An animal flies.	4	0	1	entailment
2319	1346051107.jpg#1/The man is standing next to a fire hydrant and playing a saxophone.	1346051107.jpg#2/A man is playing a saxophone next to a fire hydrant.	1346051107.jpg#3/A man plays saxophone next to a yellow fire hydrant.	1346051107.jpg#4/A man stands by a wall playing a saxophone.	Man playing musical instrument.	5	0	0	entailment
2320	1683444418.jpg#0/A man in a camouflage tank top standing next to a man in a gray t-shirt with a fountain in the background.	1683444418.jpg#1/Two men standing in front of a huge fountain with several background people.	1683444418.jpg#2/Two men standing in front of fountain while other people sit on the grass	1683444418.jpg#4/Two men are standing in front of a fountain smiling.	Two men posing for a photo.	4	1	0	entailment
2321	846085364.jpg#0/A young child dressed in snow pants and blue hat tentatively steps on snow-covered ice.	846085364.jpg#1/A small child in winter gear is making tracks in shallow snow.	846085364.jpg#2/The child is well bundled as he walks in the snow.	846085364.jpg#4/A bundled-up toddler in the snow.	A child looking at footprints.	2	2	1	neutral
2322	82675922.jpg#1/A group of people are sitting on a sofa hugging each other.	82675922.jpg#2/A group of people are sitting in a room.	82675922.jpg#3/People sitting on a brown leather couch.	82675922.jpg#4/Two couples sitting on a leather couch.	A group gathered.	4	0	1	entailment
2323	189233427.jpg#0/A woman handing a white cup to a man with a newspaper box and a shopping cart between them.	189233427.jpg#2/A woman listening to earbuds while interacting with a man.	189233427.jpg#3/A black man is buying a drink from a street vendor.	189233427.jpg#4/A woman giving a cup to an African American man.	A woman carrying two bags.	0	3	2	neutral
2324	2067362863.jpg#0/A tan dog is grappling another tan dog on gravel while someone stands nearby.	2067362863.jpg#2/Two dogs engaged in physical contact with a man in the background.	2067362863.jpg#3/Two dogs play fighting on sand.	2067362863.jpg#4/Two dogs wrestle or hug.	A brown dog jumping up at another dog.	4	1	0	entailment
2325	3201943535.jpg#1/A biker is attempting to fix his bike in a mountainous area.	3201943535.jpg#2/A man in a blue hat is fixing the gears on his bike	3201943535.jpg#3/A man in a green shirt is fixing a bicycle chain	3201943535.jpg#4/A man in the hot desert fixes his bike.	A man working on the tire of his bike.	1	2	2	neutral
2326	4145054037.jpg#0/On the shore of a lake, a girl jumps for joy in the autumn leaves.	4145054037.jpg#1/A person in a white t-shirt is jumping in front of a lake.	4145054037.jpg#3/A woman is just jumping to show her happiness.	4145054037.jpg#4/A girl by a lake jumping in the air.	A teen jumps.	3	1	1	neutral
2327	475042270.jpg#0/A golden retriever is playing with a smaller black and brown dog in a pink collar.	475042270.jpg#1/A smaller black dog fighting with a larger brown dog in a forest.	475042270.jpg#3/Brown dog with mouth open near head of black and tan dog.	475042270.jpg#4/Two dogs playing near the woods.	A small dog jumping on a dog.	3	2	0	neutral
2328	7541450008.jpg#1/Two men in bright orange vests are painting a curb white.	7541450008.jpg#2/Two men in orange safety vests paint a curb white.	7541450008.jpg#3/Two men are painting a curb with white paint.	7541450008.jpg#4/Two men paint a curb on a busy street corner.	Man crouching.	2	3	0	neutral
2329	2127097896.jpg#0/A group of people in a yellow and white tent watch a man in black clothes play the guitar.	2127097896.jpg#1/A man plays an acoustic guitar for an audience inside a large yellow and white tent.	2127097896.jpg#3/A man is playing a guitar in a large tent with an audience watching.	2127097896.jpg#4/A man with a guitar is playing under a tent full of people.	A man with beard playing an instrument.	1	4	0	neutral
2330	4953862462.jpg#0/A woman with blond hair and a black and gray striped sweater is on the street pointing at something with her blue umbrella.	4953862462.jpg#2/A blond female in a striped shirt points at something with her blue umbrella.	4953862462.jpg#3/Woman in striped sweater uses blue umbrella to gesture towards something.	4953862462.jpg#4/A woman in a striped shirt points to something with her blue umbrella.	Two women looking at something.	2	1	2	contradiction
2331	1402843760.jpg#0/A white dog lifts its paw as it stands on the grass near striped poles.	1402843760.jpg#2/A white dog competing in an agility event.	1402843760.jpg#3/A dog trots through the grass.	1402843760.jpg#4/A fluffy white dog is outside.	A dog walking.	2	1	2	neutral
2332	2442243868.jpg#1/A dog prepares to bite a yellow dog toy.	2442243868.jpg#2/A brown dog lunges for a yellow toy.	2442243868.jpg#3/A brown dog chasing a yellow toy.	2442243868.jpg#4/A dog chases a toy.	A dog playing with an orange toy.	1	0	4	contradiction
2333	4842411522.jpg#1/A girl in a multicolored striped outfit is standing with her family.	4842411522.jpg#2/A young Asian girl dressed in pastel colors stands with her family.	4842411522.jpg#3/Children woman and man in a park looking around a park	4842411522.jpg#4/A woman and two children sightseeing.	A group standing.	5	0	0	entailment
2334	1346529555.jpg#1/A Yorkie jumped into the air to catch a red ball in its mouth.	1346529555.jpg#2/A terrier who jumped up has a red ball in his mouth.	1346529555.jpg#3/A dog in midair catching the red ball.	1346529555.jpg#4/A dog retrieves a golf ball.	A dog stands on his hind legs.	2	3	0	neutral
2335	4505883129.jpg#0/A little blond girl wearing a hooded jacket, purple pants, and pink rain boots is putting a stick into a river with rocks and grass in the background.	4505883129.jpg#1/A girl wearing a black jacket and pink boots is poking in the water of the creek with a stick, from the creek bank.	4505883129.jpg#2/A young girl wearing a dark gray hoodie, purple pants, and pink boots is holding a stick, playing in water.	4505883129.jpg#4/A little girl near a body of water pokes a stick into it.	A child squatting.	3	2	0	neutral
2336	4654264126.jpg#1/A man sits outside a Chinese restaurant below a mailbox.	4654264126.jpg#2/An oriental man stands under a mailbox numbered 134.	4654264126.jpg#3/Asian man standing under mailbox.	4654264126.jpg#4/A man resting under a mailbox.	A man with black hair standing.	3	1	1	entailment
2337	93311089.jpg#0/A little boy with a shirt, shorts and socks on, standing on the beach.	93311089.jpg#1/A skinny young boy squints at the camera on a beach.	93311089.jpg#2/A boy is wearing a red towel standing on the beach.	93311089.jpg#4/A kid standing in the sand at the beach.	A boy posing.	3	2	0	neutral
2338	264483970.jpg#0/Four male cheerleaders are preparing the catch the female cheerleaders they just threw in the air.	264483970.jpg#1/Four cheerleaders in a row are being thrown into the air simultaneously by four separate men.	264483970.jpg#2/Eleven cheerleaders in yellow and white on a football field, eight of which are doing a lift.	264483970.jpg#3/Male cheerleaders are holding up female cheerleaders on a football field.	A group of cheerleaders cheering.	4	1	0	entailment
2339	3372214646.jpg#0/A kangaroo wearing a yellow and black striped vest with the number eight on it is hopping.	3372214646.jpg#2/Race dogs run their fastest down a sandy track.	3372214646.jpg#3/A group of greyhounds race on a track.	3372214646.jpg#4/Many dogs race around the track.	Greyhounds racing along a track.	5	0	0	entailment
2340	1351594833.jpg#0/A man in a yellow rain jacket is playing a musical instrument amidst black and white birds.	1351594833.jpg#1/A man is selling hotdogs on a walkway, and there are tons of pigeons.	1351594833.jpg#3/A man under umbrella is watching pigeons.	1351594833.jpg#4/A bunch of birds outside of a building.	A man surrounded by animals.	5	0	0	entailment
2341	6309782007.jpg#0/Two men look at the camera and smile while holding up their glasses of beer.	6309782007.jpg#1/Two men are toasting a cup of beer together, while another watches.	6309782007.jpg#3/Two men drinking beer with another in the background.	6309782007.jpg#4/Two men enjoying a beer in a restaurant.	Men posing for a picture.	3	2	0	neutral
2342	2858408189.jpg#0/A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.	2858408189.jpg#1/A woman wearing a white head-covering holds her sleeping baby, who is wrapped in swaddling cloth.	2858408189.jpg#2/A woman in a shawl is holding her child that is wrapped in a colorful blanket.	2858408189.jpg#4/A woman in a shawl holds her baby.	A woman poses for a picture.	2	3	0	neutral
2343	2210633831.jpg#0/A nervous looking woman with red hair is working with possibly dangerous materials in a lab.	2210633831.jpg#1/A nervous looking red-haired girl carefully handles some medical equipment in a lab.	2210633831.jpg#2/Woman with red hair, gray sweater and light green gloves, working on an experiment.	2210633831.jpg#3/A female is working in a laboratory with science equipment.	Girl posing.	1	0	4	contradiction
2344	3810304603.jpg#0/A guy with blond hair is standing on a stage playing a red guitar with the drummer in the background.	3810304603.jpg#1/A man in a blue shirt is singing and playing guitar on a stage in front of a drummer.	3810304603.jpg#3/A blond guy with a red guitar is singing in a band.	3810304603.jpg#4/Chickenfoot plays a musical set on a stage.	A man performing on stage with an instrument.	5	0	0	entailment
2345	446471477.jpg#0/Three girls are sitting in a car and smiling back at the camera which is in the backseat looking towards the front of the car.	446471477.jpg#1/Three women look back at the camera that's in the rear seat of a van as the driver drives down the road.	446471477.jpg#3/Three women in a vehicle are looking back and smiling.	446471477.jpg#4/Group of people in car looking back at camera.	Three girls pose.	4	0	1	entailment
2346	2250571576.jpg#0/Five people are at a yellow table celebrating two birthdays, while one women wears a feather in her hat.	2250571576.jpg#1/Five people are sitting around a table and celebrating with cake and candles.	2250571576.jpg#2/A group of people are enjoying a birthday celebration, with two cakes.	2250571576.jpg#3/A group of people at a party with two cakes on the table.	A crowd gathers.	3	0	2	contradiction
2347	3484906808.jpg#0/A woman wearing a light blue coat looks to the left while a man looks to the right.	3484906808.jpg#1/A woman and two young men, standing close to one another.	3484906808.jpg#2/A woman and two men looking in different directions.	3484906808.jpg#3/A woman wearing sunglasses standing next to two men.	A man is outside.	3	0	2	neutral
2348	2045336190.jpg#1/A group of women are looking through binders and playing tambourines.	2045336190.jpg#2/Six girls are sitting together laughing and playing tambourines.	2045336190.jpg#3/Group of girls having a study party.	2045336190.jpg#4/Group of girls having fun together.	Women sit around a table.	2	3	0	neutral
2349	3094173565.jpg#0/A man with tattoo's on his arms is standing in front of a microphone playing guitar.	3094173565.jpg#1/An older man dressed in black and covered in tattoos is playing guitar on stage.	3094173565.jpg#2/An older man wearing a loud t-shirt plays guitar in front of a microphone.	3094173565.jpg#3/A man in a black t-shirt and blues shoes plays a bass.	A man performing on stage with his instrument.	4	1	0	entailment
2350	8127485677.jpg#0/The two girls on a field are running and just about to get to the soccer ball to kick it while another girl is running in their direction from behind as fans are watching it all from the stands.	8127485677.jpg#1/Women's Soccer, Blue and white team versus Red and white team, Seems intense.	8127485677.jpg#2/Two soccer players fighting over possession of the soccer ball.	8127485677.jpg#4/Two soccer players are competing for the ball.	Girls playing soccer.	5	0	0	entailment
2351	4284601289.jpg#1/A team in red and black uniforms stand on each others' shoulders while crowd presses into them.	4284601289.jpg#2/A group of people in purple and red shirts are working on a performance routine.	4284601289.jpg#3/A group of colorfully dressed people are assisting the street performers.	4284601289.jpg#4/A group of gymnasts performing.	Man standing.	1	1	3	neutral
2352	6181621171.jpg#0/Five Women, wearing beautiful, colorful saris, in a circle, dancing with their hands raised and touching.	6181621171.jpg#1/Five young Indian girls dress in colorful dresses are holding hands and smiling forming a circle	6181621171.jpg#3/Five ladies dressed in vibrant colors having fun dancing.	6181621171.jpg#4/Indian women joining hands in a traditional dance.	Women doing some type.	1	3	1	neutral
2353	3295418287.jpg#0/Several people walk past tents with lanterns set up on the street.	3295418287.jpg#1/White tents lined up with red Chinese lanterns hanging from them	3295418287.jpg#3/People gather outdoors at a market.	3295418287.jpg#4/A Chinese festival.	Man smiles.	2	1	2	contradiction
2354	300839715.jpg#0/A man wearing light colored pants and a dark pink shirt is looking at something as a young girl, wearing a red skirt and white sweater, looks on in a straw covered area.	300839715.jpg#2/A man in a pink jacket is standing in front of a young girl that is wearing a hat.	300839715.jpg#3/A man and a child stand nearby each other within a tribal group.	300839715.jpg#4/Male tourist talking to a local native child and buying artwork.	A man smiling.	1	3	1	neutral
2355	299181827.jpg#0/The little girl poured water from a bucket onto the person in the white shirt.	299181827.jpg#1/A girl is preparing to pour a bucket of water on man wearing a white shirt.	299181827.jpg#2/A girl in a pink shirt tries to dump a bucket of water on another girl.	299181827.jpg#4/Two people are on a treated lawn playing with water.	A child throwing water.	4	0	1	entailment
2356	4791332465.jpg#0/Children stand with guns on a large green lawn with a man dressed as a soldier.	4791332465.jpg#1/A man dressed as a British Guard entertains children holding toy guns.	4791332465.jpg#2/Kids are watching a man in uniform standing on the grass.	4791332465.jpg#4/A soldier is teaching kids how to handle a gun.	Children learning.	3	1	1	entailment
2357	3465353601.jpg#0/There is a young male using a desktop computer and a lady smiling and watching him.	3465353601.jpg#1/A young woman in business casual kneeling and young man sitting at a computer.	3465353601.jpg#3/A teacher helping a student at a computer station.	3465353601.jpg#4/People in a computer room using computers.	A man and a woman looking at something.	3	0	2	entailment
2358	4171253174.jpg#0/A woman in a red bubble jacket and black and white striped pants sitting on a bar next to a man who is smoking as people pass them by.	4171253174.jpg#2/A woman in a red jacket sitting on a stool facing a man, with her head on his shoulder.	4171253174.jpg#3/A blond woman in a red jacket wearing black and white striped pants.	4171253174.jpg#4/A girl and boy sit on a fence.	A woman leaning on a wall.	0	0	5	contradiction
2359	2631553625.jpg#1/A child with a sweater is holding a pen in his mouth.	2631553625.jpg#2/A child in a blue sweater holds a pen in his mouth.	2631553625.jpg#3/A boy in a blue sweater holds a pen in his mouth.	2631553625.jpg#4/A small boy is chewing on a pen.	A child looking at the camera.	0	4	1	neutral
